Index,Sub,EDSname,Datatype,Access,Value,varname,LowLimit,UpLimit,hasDefault,hasLimit,refuseRead,refuseWrite,defaultInEDS,ImplementationType,Size,ObjectCode,mapable
0x1000,0x00,Device Type,UNSIGNED32,ro,0,NONE,0,4294967295,yes,no,no,no,1,ManagedConst,0,,mapping
0x1001,0x00,Error Register,UNSIGNED8,ro,0,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1005,0x00,COB ID SYNC,UNSIGNED32,rw,128,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1014,0x00,COB ID EMCY,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1016,0x00,Consumer Heartbeat Time Highest sub-index supported,UNSIGNED8,const,3,NONE,1,127,yes,no,no,no,1,ManagedConst,0,ARRAY,mapping
0x1016,0x01,Consumer Heartbeat Time Consumer Heartbeat Time 1,UNSIGNED32,rw,65536,NONE,0,8388607,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1016,0x02,Consumer Heartbeat Time Consumer Heartbeat Time 2,UNSIGNED32,rw,131072,NONE,0,8388607,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1016,0x03,Consumer Heartbeat Time Consumer Heartbeat Time 3,UNSIGNED32,rw,196608,NONE,0,8388607,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1017,0x00,Producer Heartbeat Time,UNSIGNED16,rw,1000,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1018,0x00,Identity Object Number of entries,UNSIGNED8,ro,4,NONE,1,4,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1018,0x01,Identity Object Vendor Id,UNSIGNED32,ro,793,NONE,0,4294967295,yes,no,no,no,1,ManagedConst,0,,mapping
0x1018,0x02,Identity Object Product Code,UNSIGNED32,ro,2069,NONE,0,4294967295,yes,no,no,no,1,ManagedConst,0,,mapping
0x1018,0x03,Identity Object Revision number,UNSIGNED32,ro,65537,NONE,0,4294967295,yes,no,no,no,1,ManagedConst,0,,mapping
0x1018,0x04,Identity Object Serial number,UNSIGNED32,ro,1,NONE,0,4294967295,no,no,no,no,0,ManagedVariable,0,,mapping
0x1200,0x00,SDO server parameter Highest sub-index supported,UNSIGNED8,const,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1200,0x01,SDO server parameter COB-ID client to server,UNSIGNED32,const,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1200,0x02,SDO server parameter COB-ID server to client,UNSIGNED32,ro,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1400,0x00,Receive PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,5,NONE,2,5,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1400,0x01,Receive PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,385,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1400,0x02,Receive PDO Communication Parameter Transmission Type,UNSIGNED8,rw,254,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1400,0x03,Receive PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1400,0x05,Receive PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1600,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,const,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1600,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,const,537002256,NONE,0,0,yes,no,no,no,1,ManagedConst,0,,mapping
0x1600,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,const,537002512,NONE,0,0,yes,no,no,no,1,ManagedConst,0,,mapping
0x1800,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,6,NONE,2,6,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1800,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,385,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1800,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,254,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1800,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1800,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,2500,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1800,0x06,Transmit PDO Communication Parameter SYNC start value,UNSIGNED8,rw,0,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1a00,0x00,Transmit PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,const,4,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1a00,0x01,Transmit PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,const,536871176,NONE,0,0,yes,no,no,no,1,ManagedConst,0,,mapping
0x1a00,0x02,Transmit PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,const,536871432,NONE,0,0,yes,no,no,no,1,ManagedConst,0,,mapping
0x1a00,0x03,Transmit PDO Mapping Parameter Mapping Entry 3,UNSIGNED32,const,536871688,NONE,0,0,yes,no,no,no,1,ManagedConst,0,,mapping
0x1a00,0x04,Transmit PDO Mapping Parameter Mapping Entry 4,UNSIGNED32,const,536871944,NONE,0,0,yes,no,no,no,1,ManagedConst,0,,mapping
 
0x2000,0x00,UNSIGNED8 Array Highest sub-index supported,UNSIGNED8,ro,4,NONE,0,255,yes,no,no,no,1,ManagedConst,0,ARRAY,mapping
0x2000,0x01,UNSIGNED8 Array Subindex 1,UNSIGNED8,rw,1,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2000,0x02,UNSIGNED8 Array Subindex 2,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2000,0x03,UNSIGNED8 Array Subindex 3,UNSIGNED8,rw,3,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2000,0x04,UNSIGNED8 Array Subindex 4,UNSIGNED8,rw,4,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2001,0x00,UNSIGNED16 Array Highest sub-index supported,UNSIGNED8,ro,4,NONE,0,255,yes,no,no,no,1,ManagedConst,0,ARRAY,mapping
0x2001,0x01,UNSIGNED16 Array Subindex 1,UNSIGNED16,rw,257,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2001,0x02,UNSIGNED16 Array Subindex 2,UNSIGNED16,rw,514,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2001,0x03,UNSIGNED16 Array Subindex 3,UNSIGNED16,rw,771,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2001,0x04,UNSIGNED16 Array Subindex 4,UNSIGNED16,rw,1028,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2002,0x00,INTEGER16 Array Highest sub-index supported,UNSIGNED8,ro,4,NONE,0,255,yes,no,no,no,1,ManagedConst,0,ARRAY,mapping
0x2002,0x01,INTEGER16 Array Subindex 1,INTEGER16,rw,-101,NONE,-32768,32767,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2002,0x02,INTEGER16 Array Subindex 2,INTEGER16,rw,-202,NONE,-32768,32767,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2002,0x03,INTEGER16 Array Subindex 3,INTEGER16,rw,-303,NONE,-32768,32767,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2002,0x04,INTEGER16 Array Subindex 4 (write only),INTEGER16,wo,-404,NONE,-32768,32767,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2003,0x00,Manufacturer Record Highest sub-index supported,UNSIGNED8,ro,8,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x2003,0x01,Manufacturer Record U8,UNSIGNED8,rw,1,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2003,0x02,Manufacturer Record U16,UNSIGNED16,rw,2,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2003,0x03,Manufacturer Record U32,UNSIGNED32,rw,3,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2003,0x04,Manufacturer Record I8,INTEGER8,rw,-1,NONE,-128,127,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2003,0x05,Manufacturer Record I16,INTEGER16,rw,-2,NONE,-32768,32767,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2003,0x06,Manufacturer Record I32,INTEGER32,rw,-3,NONE,-2147483648,2147483647,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2003,0x07,Manufacturer Record R32,REAL32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,mapping
0x2003,0x08,Manufacturer Record VS,VISIBLE_STRING,const,emotas evaluation example,NONE,0,0,yes,no,no,no,1,ManagedConst,25,,mapping
